PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
1,28.62,3.33333,28.62,4.16667,28.62,1.66667,28.62
1,28.64,3.33333,28.64,1,28.64,5.83333,28.64
1,28.66,1,28.66,1,28.66,2.5,28.66
1,28.68,1.66667,28.68,1,28.68,0.833333,28.68
1,28.7,3.33333,28.7,1,28.7,3.33333,28.7
1,28.72,1,28.72,1,28.72,5.83333,28.72
1,28.74,1.66667,28.74,1,28.74,0.833333,28.74
1,28.76,1.66667,28.76,1,28.76,1.66667,28.76
1,28.78,1,28.78,1,28.78,0.833333,28.78
1,28.8,5,28.8,4.16667,28.8,2.5,28.8
4.16667,28.82,3.33333,28.82,4.16667,28.82,4.16667,28.82
1,28.84,1,28.84,1,28.84,3.33333,28.84
1,28.86,1,28.86,1,28.86,2.5,28.86
4.16667,28.88,1,28.88,1,28.88,2.5,28.88
4.16667,28.9,1,28.9,4.16667,28.9,3.33333,28.9
1,28.92,1.66667,28.92,8.33333,28.92,3.33333,28.92
1,28.94,1.66667,28.94,4.16667,28.94,3.33333,28.94
1,28.96,1.66667,28.96,1,28.96,2.5,28.96
1,28.98,1,28.98,8.33333,28.98,1.66667,28.98
1,29,3.33333,29,1,29,0.833333,29
1,29.02,1.66667,29.02,4.16667,29.02,3.33333,29.02
1,29.04,1.66667,29.04,4.16667,29.04,2.5,29.04
1,29.06,1,29.06,4.16667,29.06,2.5,29.06
1,29.08,1.66667,29.08,1,29.08,1,29.08
1,29.1,3.33333,29.1,1,29.1,3.33333,29.1
1,29.12,3.33333,29.12,8.33333,29.12,6.66667,29.12
1,29.14,3.33333,29.14,4.16667,29.14,2.5,29.14
1,29.16,3.33333,29.16,1,29.16,1.66667,29.16
1,29.18,1,29.18,1,29.18,2.5,29.18
4.16667,29.2,3.33333,29.2,1,29.2,2.5,29.2
4.16667,29.22,5,29.22,4.16667,29.22,0.833333,29.22
1,29.24,1.66667,29.24,4.16667,29.24,3.33333,29.24
1,29.26,1.66667,29.26,4.16667,29.26,5,29.26
1,29.28,3.33333,29.28,1,29.28,0.833333,29.28
1,29.3,1.66667,29.3,1,29.3,5,29.3
1,29.32,3.33333,29.32,1,29.32,4.16667,29.32
1,29.34,1,29.34,4.16667,29.34,5.83333,29.34
1,29.36,1.66667,29.36,4.16667,29.36,3.33333,29.36
1,29.38,1.66667,29.38,1,29.38,3.33333,29.38
1,29.4,1.66667,29.4,4.16667,29.4,1.66667,29.4
1,29.42,1,29.42,8.33333,29.42,3.33333,29.42
4.16667,29.44,1,29.44,8.33333,29.44,4.16667,29.44
4.16667,29.46,1.66667,29.46,8.33333,29.46,1.66667,29.46
1,29.48,1.66667,29.48,1,29.48,2.5,29.48
4.16667,29.5,1.66667,29.5,12.5,29.5,3.33333,29.5
1,29.52,3.33333,29.52,4.16667,29.52,2.5,29.52
4.16667,29.54,1.66667,29.54,1,29.54,3.33333,29.54
4.16667,29.56,3.33333,29.56,4.16667,29.56,3.33333,29.56
1,29.58,1.66667,29.58,1,29.58,5,29.58
4.16667,29.6,1.66667,29.6,1,29.6,3.33333,29.6
4.16667,29.62,3.33333,29.62,1,29.62,1,29.62
4.16667,29.64,1,29.64,8.33333,29.64,2.5,29.64
4.16667,29.66,1,29.66,1,29.66,3.33333,29.66
1,29.68,3.33333,29.68,1,29.68,5.83333,29.68
1,29.7,5,29.7,4.16667,29.7,4.16667,29.7
1,29.72,1.66667,29.72,1,29.72,4.16667,29.72
1,29.74,3.33333,29.74,1,29.74,3.33333,29.74
4.16667,29.76,1,29.76,4.16667,29.76,3.33333,29.76
1,29.78,1,29.78,4.16667,29.78,3.33333,29.78
1,29.8,3.33333,29.8,1,29.8,1.66667,29.8
1,29.82,1.66667,29.82,1,29.82,5.83333,29.82
1,29.84,1.66667,29.84,1,29.84,5,29.84
1,29.86,1,29.86,1,29.86,2.5,29.86
1,29.88,1,29.88,1,29.88,3.33333,29.88
8.33333,29.9,1,29.9,4.16667,29.9,6.66667,29.9
1,29.92,1,29.92,4.16667,29.92,2.5,29.92
1,29.94,1,29.94,1,29.94,5,29.94
1,29.96,1.66667,29.96,1,29.96,1.66667,29.96
1,29.98,1.66667,29.98,1,29.98,4.16667,29.98
1,30,1,30,1,30,1,30
1,44,1,44,1,44,1,44
8.33333,44.02,5,44.02,4.16667,44.02,8.33333,44.02
1,44.04,3.33333,44.04,8.33333,44.04,7.5,44.04
8.33333,44.06,6.66667,44.06,1,44.06,1.66667,44.06
4.16667,44.08,5,44.08,1,44.08,5,44.08
1,44.1,6.66667,44.1,1,44.1,5,44.1
4.16667,44.12,1,44.12,4.16667,44.12,5,44.12
1,44.14,3.33333,44.14,8.33333,44.14,3.33333,44.14
1,44.16,1.66667,44.16,1,44.16,5.83333,44.16
4.16667,44.18,3.33333,44.18,1,44.18,3.33333,44.18
1,44.2,1,44.2,1,44.2,3.33333,44.2
1,44.22,6.66667,44.22,1,44.22,5,44.22
1,44.24,5,44.24,8.33333,44.24,2.5,44.24
1,44.26,5,44.26,4.16667,44.26,1.66667,44.26
1,44.28,1.66667,44.28,8.33333,44.28,1.66667,44.28
4.16667,44.3,3.33333,44.3,4.16667,44.3,1.66667,44.3
1,44.32,3.33333,44.32,16.6667,44.32,8.33333,44.32
4.16667,44.34,1,44.34,4.16667,44.34,7.5,44.34
8.33333,44.36,5,44.36,8.33333,44.36,3.33333,44.36
8.33333,44.38,3.33333,44.38,1,44.38,5,44.38
8.33333,44.4,1,44.4,4.16667,44.4,7.5,44.4
8.33333,44.42,3.33333,44.42,4.16667,44.42,6.66667,44.42
1,44.44,3.33333,44.44,1,44.44,4.16667,44.44
4.16667,44.46,5,44.46,1,44.46,7.5,44.46
4.16667,44.48,5,44.48,12.5,44.48,5.83333,44.48
1,44.5,8.33333,44.5,4.16667,44.5,7.5,44.5
1,44.52,1,44.52,4.16667,44.52,2.5,44.52
1,44.54,8.33333,44.54,4.16667,44.54,3.33333,44.54
1,44.56,5,44.56,1,44.56,2.5,44.56
1,44.58,3.33333,44.58,8.33333,44.58,10,44.58
1,44.6,1.66667,44.6,1,44.6,9.16667,44.6
1,44.62,5,44.62,12.5,44.62,9.16667,44.62
4.16667,44.64,6.66667,44.64,12.5,44.64,5.83333,44.64
1,44.66,6.66667,44.66,4.16667,44.66,5.83333,44.66
1,44.68,1,44.68,1,44.68,4.16667,44.68
1,44.7,1,44.7,4.16667,44.7,4.16667,44.7
1,44.72,3.33333,44.72,4.16667,44.72,5,44.72
1,44.74,1.66667,44.74,4.16667,44.74,3.33333,44.74
1,44.76,3.33333,44.76,1,44.76,5,44.76
1,44.78,6.66667,44.78,4.16667,44.78,4.16667,44.78
8.33333,44.8,8.33333,44.8,8.33333,44.8,10,44.8
8.33333,44.82,5,44.82,8.33333,44.82,9.16667,44.82
1,44.84,8.33333,44.84,1,44.84,6.66667,44.84
1,44.86,3.33333,44.86,4.16667,44.86,7.5,44.86
8.33333,44.88,6.66667,44.88,12.5,44.88,6.66667,44.88
1,44.9,5,44.9,1,44.9,10.8333,44.9
1,44.92,1.66667,44.92,8.33333,44.92,8.33333,44.92
1,44.94,3.33333,44.94,4.16667,44.94,13.3333,44.94
1,44.96,3.33333,44.96,4.16667,44.96,9.16667,44.96
4.16667,44.98,5,44.98,12.5,44.98,8.33333,44.98
4.16667,45,10,45,12.5,45,10.8333,45
4.16667,45.02,3.33333,45.02,8.33333,45.02,11.6667,45.02
1,45.04,21.6667,45.04,16.6667,45.04,8.33333,45.04
8.33333,45.06,8.33333,45.06,12.5,45.06,6.66667,45.06
1,45.08,13.3333,45.08,1,45.08,6.66667,45.08
8.33333,45.1,3.33333,45.1,8.33333,45.1,6.66667,45.1
1,45.12,5,45.12,1,45.12,13.3333,45.12
1,45.14,6.66667,45.14,4.16667,45.14,10.8333,45.14
4.16667,45.16,5,45.16,16.6667,45.16,8.33333,45.16
12.5,45.18,10,45.18,1,45.18,12.5,45.18
1,45.2,8.33333,45.2,1,45.2,14.1667,45.2
12.5,45.22,3.33333,45.22,16.6667,45.22,10.8333,45.22
4.16667,45.24,21.6667,45.24,8.33333,45.24,10,45.24
4.16667,45.26,16.6667,45.26,12.5,45.26,15.8333,45.26
8.33333,45.28,5,45.28,20.8333,45.28,15.8333,45.28
8.33333,45.3,16.6667,45.3,8.33333,45.3,6.66667,45.3
4.16667,45.32,13.3333,45.32,1,45.32,10.8333,45.32
1,45.34,6.66667,45.34,20.8333,45.34,12.5,45.34
16.6667,45.36,8.33333,45.36,8.33333,45.36,6.66667,45.36
8.33333,45.38,8.33333,45.38,4.16667,45.38,13.3333,45.38
25,45.4,13.3333,45.4,4.16667,45.4,12.5,45.4
12.5,45.42,11.6667,45.42,8.33333,45.42,14.1667,45.42
8.33333,45.44,18.3333,45.44,12.5,45.44,12.5,45.44
12.5,45.46,11.6667,45.46,16.6667,45.46,7.5,45.46
8.33333,45.48,8.33333,45.48,8.33333,45.48,12.5,45.48
12.5,45.5,16.6667,45.5,20.8333,45.5,10,45.5
4.16667,45.52,8.33333,45.52,8.33333,45.52,12.5,45.52
8.33333,45.54,11.6667,45.54,8.33333,45.54,10.8333,45.54
20.8333,45.56,10,45.56,12.5,45.56,12.5,45.56
8.33333,45.58,25,45.58,1,45.58,12.5,45.58
12.5,45.6,30,45.6,1,45.6,15,45.6
29.1667,45.62,25,45.62,12.5,45.62,16.6667,45.62
29.1667,45.64,15,45.64,8.33333,45.64,10,45.64
20.8333,45.66,25,45.66,12.5,45.66,17.5,45.66
25,45.68,25,45.68,4.16667,45.68,23.3333,45.68
37.5,45.7,21.6667,45.7,4.16667,45.7,18.3333,45.7
29.1667,45.72,31.6667,45.72,4.16667,45.72,15,45.72
29.1667,45.74,26.6667,45.74,4.16667,45.74,20,45.74
16.6667,45.76,35,45.76,16.6667,45.76,16.6667,45.76
37.5,45.78,35,45.78,25,45.78,18.3333,45.78
20.8333,45.8,41.6667,45.8,20.8333,45.8,24.1667,45.8
29.1667,45.82,25,45.82,8.33333,45.82,19.1667,45.82
29.1667,45.84,31.6667,45.84,20.8333,45.84,17.5,45.84
50,45.86,26.6667,45.86,4.16667,45.86,25,45.86
41.6667,45.88,51.6667,45.88,12.5,45.88,25,45.88
54.1667,45.9,51.6667,45.9,12.5,45.9,23.3333,45.9
29.1667,45.92,45,45.92,20.8333,45.92,23.3333,45.92
37.5,45.94,66.6667,45.94,8.33333,45.94,20,45.94
41.6667,45.96,68.3333,45.96,1,45.96,22.5,45.96
12.5,45.98,53.3333,45.98,16.6667,45.98,28.3333,45.98
75,46,68.3333,46,8.33333,46,25,46
66.6667,46.02,100,46.02,12.5,46.02,28.3333,46.02
66.6667,46.04,86.6667,46.04,16.6667,46.04,34.1667,46.04
45.8333,46.06,115,46.06,4.16667,46.06,30,46.06
75,46.08,110,46.08,4.16667,46.08,33.3333,46.08
112.5,46.1,116.667,46.1,16.6667,46.1,34.1667,46.1
83.3333,46.12,126.667,46.12,25,46.12,34.1667,46.12
91.6667,46.14,150,46.14,25,46.14,33.3333,46.14
108.333,46.16,156.667,46.16,37.5,46.16,41.6667,46.16
129.167,46.18,206.667,46.18,25,46.18,40.8333,46.18
158.333,46.2,240,46.2,33.3333,46.2,46.6667,46.2
154.167,46.22,266.667,46.22,33.3333,46.22,55.8333,46.22
208.333,46.24,331.667,46.24,37.5,46.24,55,46.24
333.333,46.26,503.333,46.26,54.1667,46.26,49.1667,46.26
383.333,46.28,821.667,46.28,41.6667,46.28,53.3333,46.28
720.833,46.3,1643.33,46.3,54.1667,46.3,61.6667,46.3
1658.33,46.32,3580,46.32,62.5,46.32,45,46.32
3887.5,46.34,7051.67,46.34,33.3333,46.34,62.5,46.34
8250,46.36,14281.7,46.36,70.8333,46.36,66.6667,46.36
16920.8,46.38,28041.7,46.38,50,46.38,75,46.38
34587.5,46.4,55335,46.4,50,46.4,78.3333,46.4
70587.5,46.42,116900,46.42,41.6667,46.42,75,46.42
152213,46.44,257740,46.44,87.5,46.44,98.3333,46.44
350792,46.46,690222,46.46,79.1667,46.46,85.8333,46.46
962648,46.48,1.34E+06,46.48,91.6667,46.48,92.5,46.48
1.48E+06,46.5,1.18E+06,46.5,79.1667,46.5,104.167,46.5
948643,46.52,573703,46.52,83.3333,46.52,124.167,46.52
335238,46.54,168907,46.54,120.833,46.54,140.833,46.54
88758.3,46.56,49148.3,46.56,100,46.56,135.833,46.56
33066.7,46.58,20083.3,46.58,175,46.58,160,46.58
14991.7,46.6,9503.33,46.6,150,46.6,185.833,46.6
6950,46.62,4578.33,46.62,191.667,46.62,208.333,46.62
3870.83,46.64,2355,46.64,179.167,46.64,245,46.64
2108.33,46.66,1230,46.66,229.167,46.66,305,46.66
1341.67,46.68,745,46.68,250,46.68,347.5,46.68
829.167,46.7,545,46.7,333.333,46.7,355.833,46.7
595.833,46.72,410,46.72,325,46.72,492.5,46.72
512.5,46.74,291.667,46.74,504.167,46.74,625.833,46.74
425,46.76,303.333,46.76,575,46.76,767.5,46.76
316.667,46.78,231.667,46.78,712.5,46.78,1016.67,46.78
250,46.8,216.667,46.8,1129.17,46.8,1420,46.8
291.667,46.82,180,46.82,1800,46.82,2256.67,46.82
229.167,46.84,155,46.84,2891.67,46.84,3795.83,46.84
191.667,46.86,153.333,46.86,5591.67,46.86,6963.33,46.86
162.5,46.88,135,46.88,37112.5,46.88,16073.3,46.88
175,46.9,113.333,46.9,363954,46.9,85670.8,46.9
129.167,46.92,101.667,46.92,741549,46.92,1.15E+06,46.92
125,46.94,130,46.94,236679,46.94,955821,46.94
104.167,46.96,106.667,46.96,17779.2,46.96,62948.3,46.96
100,46.98,75,46.98,5895.83,46.98,15343.3,46.98
83.3333,47,73.3333,47,3758.33,47,8082.5,47
95.8333,47.02,78.3333,47.02,2029.17,47.02,4940.83,47.02
87.5,47.04,70,47.04,1758.33,47.04,3428.33,47.04
70.8333,47.06,70,47.06,1195.83,47.06,2358.33,47.06
29.1667,47.08,56.6667,47.08,1000,47.08,1666.67,47.08
41.6667,47.1,63.3333,47.1,904.167,47.1,1276.67,47.1
66.6667,47.12,51.6667,47.12,683.333,47.12,932.5,47.12
37.5,47.14,75,47.14,595.833,47.14,715.833,47.14
41.6667,47.16,60,47.16,554.167,47.16,543.333,47.16
45.8333,47.18,41.6667,47.18,479.167,47.18,485.833,47.18
37.5,47.2,43.3333,47.2,458.333,47.2,336.667,47.2
29.1667,47.22,48.3333,47.22,483.333,47.22,318.333,47.22
33.3333,47.24,38.3333,47.24,354.167,47.24,261.667,47.24
54.1667,47.26,38.3333,47.26,316.667,47.26,195.833,47.26
25,47.28,38.3333,47.28,316.667,47.28,189.167,47.28
37.5,47.3,33.3333,47.3,275,47.3,180,47.3
33.3333,47.32,48.3333,47.32,304.167,47.32,139.167,47.32
8.33333,47.34,38.3333,47.34,270.833,47.34,130.833,47.34
25,47.36,25,47.36,366.667,47.36,124.167,47.36
58.3333,47.38,38.3333,47.38,241.667,47.38,106.667,47.38
70.8333,47.4,28.3333,47.4,275,47.4,100.833,47.4
62.5,47.42,36.6667,47.42,291.667,47.42,96.6667,47.42
62.5,47.44,31.6667,47.44,237.5,47.44,83.3333,47.44
83.3333,47.46,25,47.46,283.333,47.46,82.5,47.46
62.5,47.48,28.3333,47.48,237.5,47.48,64.1667,47.48
45.8333,47.5,30,47.5,237.5,47.5,49.1667,47.5
95.8333,47.52,40,47.52,225,47.52,55,47.52
58.3333,47.54,35,47.54,279.167,47.54,47.5,47.54
91.6667,47.56,38.3333,47.56,237.5,47.56,39.1667,47.56
129.167,47.58,46.6667,47.58,225,47.58,48.3333,47.58
145.833,47.6,31.6667,47.6,200,47.6,35,47.6
150,47.62,28.3333,47.62,316.667,47.62,38.3333,47.62
125,47.64,28.3333,47.64,229.167,47.64,35,47.64
129.167,47.66,33.3333,47.66,308.333,47.66,31.6667,47.66
162.5,47.68,36.6667,47.68,200,47.68,30.8333,47.68
120.833,47.7,13.3333,47.7,279.167,47.7,35,47.7
141.667,47.72,40,47.72,250,47.72,31.6667,47.72
154.167,47.74,23.3333,47.74,212.5,47.74,25,47.74
179.167,47.76,23.3333,47.76,237.5,47.76,26.6667,47.76
137.5,47.78,25,47.78,204.167,47.78,31.6667,47.78
158.333,47.8,16.6667,47.8,241.667,47.8,25.8333,47.8
175,47.82,10,47.82,241.667,47.82,20,47.82
158.333,47.84,15,47.84,183.333,47.84,16.6667,47.84
250,47.86,18.3333,47.86,179.167,47.86,23.3333,47.86
204.167,47.88,5,47.88,220.833,47.88,15.8333,47.88
229.167,47.9,20,47.9,237.5,47.9,19.1667,47.9
287.5,47.92,20,47.92,225,47.92,18.3333,47.92
283.333,47.94,15,47.94,200,47.94,15,47.94
287.5,47.96,8.33333,47.96,229.167,47.96,15.8333,47.96
266.667,47.98,18.3333,47.98,270.833,47.98,14.1667,47.98
275,48,13.3333,48,229.167,48,14.1667,48
341.667,48.02,18.3333,48.02,237.5,48.02,10,48.02
275,48.04,13.3333,48.04,270.833,48.04,10,48.04
304.167,48.06,11.6667,48.06,187.5,48.06,13.3333,48.06
283.333,48.08,6.66667,48.08,179.167,48.08,9.16667,48.08
250,48.1,8.33333,48.1,208.333,48.1,10.8333,48.1
354.167,48.12,8.33333,48.12,200,48.12,10,48.12
300,48.14,8.33333,48.14,225,48.14,10.8333,48.14
387.5,48.16,15,48.16,191.667,48.16,13.3333,48.16
383.333,48.18,20,48.18,195.833,48.18,10.8333,48.18
350,48.2,15,48.2,212.5,48.2,7.5,48.2
358.333,48.22,3.33333,48.22,262.5,48.22,8.33333,48.22
416.667,48.24,8.33333,48.24,204.167,48.24,13.3333,48.24
341.667,48.26,11.6667,48.26,204.167,48.26,7.5,48.26
362.5,48.28,11.6667,48.28,233.333,48.28,5.83333,48.28
395.833,48.3,6.66667,48.3,175,48.3,4.16667,48.3
358.333,48.32,16.6667,48.32,162.5,48.32,10,48.32
337.5,48.34,11.6667,48.34,183.333,48.34,9.16667,48.34
358.333,48.36,15,48.36,191.667,48.36,6.66667,48.36
404.167,48.38,8.33333,48.38,166.667,48.38,5,48.38
337.5,48.4,6.66667,48.4,162.5,48.4,7.5,48.4
379.167,48.42,11.6667,48.42,125,48.42,9.16667,48.42
341.667,48.44,6.66667,48.44,145.833,48.44,8.33333,48.44
400,48.46,13.3333,48.46,150,48.46,4.16667,48.46
375,48.48,8.33333,48.48,162.5,48.48,5.83333,48.48
350,48.5,8.33333,48.5,125,48.5,5.83333,48.5
400,48.52,13.3333,48.52,175,48.52,3.33333,48.52
437.5,48.54,15,48.54,175,48.54,5.83333,48.54
400,48.56,6.66667,48.56,150,48.56,4.16667,48.56
341.667,48.58,6.66667,48.58,133.333,48.58,5.83333,48.58
366.667,48.6,6.66667,48.6,87.5,48.6,5.83333,48.6
366.667,48.62,16.6667,48.62,133.333,48.62,6.66667,48.62
283.333,48.64,6.66667,48.64,108.333,48.64,5,48.64
362.5,48.66,13.3333,48.66,120.833,48.66,5,48.66
408.333,48.68,8.33333,48.68,125,48.68,2.5,48.68
379.167,48.7,8.33333,48.7,108.333,48.7,5.83333,48.7
275,48.72,11.6667,48.72,79.1667,48.72,6.66667,48.72
354.167,48.74,8.33333,48.74,83.3333,48.74,4.16667,48.74
316.667,48.76,5,48.76,116.667,48.76,3.33333,48.76
337.5,48.78,15,48.78,116.667,48.78,5.83333,48.78
350,48.8,10,48.8,54.1667,48.8,3.33333,48.8
316.667,48.82,5,48.82,83.3333,48.82,4.16667,48.82
345.833,48.84,11.6667,48.84,79.1667,48.84,7.5,48.84
291.667,48.86,13.3333,48.86,100,48.86,5.83333,48.86
312.5,48.88,5,48.88,87.5,48.88,6.66667,48.88
341.667,48.9,5,48.9,41.6667,48.9,6.66667,48.9
337.5,48.92,5,48.92,87.5,48.92,4.16667,48.92
308.333,48.94,11.6667,48.94,66.6667,48.94,6.66667,48.94
275,48.96,10,48.96,62.5,48.96,4.16667,48.96
216.667,48.98,6.66667,48.98,66.6667,48.98,0.833333,48.98
295.833,49,13.3333,49,54.1667,49,5.83333,49
325,49.02,5,49.02,45.8333,49.02,0.833333,49.02
258.333,49.04,13.3333,49.04,58.3333,49.04,4.16667,49.04
233.333,49.06,5,49.06,45.8333,49.06,5.83333,49.06
258.333,49.08,5,49.08,41.6667,49.08,2.5,49.08
220.833,49.1,3.33333,49.1,33.3333,49.1,5,49.1
195.833,49.12,5,49.12,37.5,49.12,3.33333,49.12
191.667,49.14,16.6667,49.14,33.3333,49.14,5,49.14
212.5,49.16,6.66667,49.16,29.1667,49.16,0.833333,49.16
166.667,49.18,6.66667,49.18,25,49.18,4.16667,49.18
187.5,49.2,5,49.2,12.5,49.2,5,49.2
187.5,49.22,3.33333,49.22,20.8333,49.22,6.66667,49.22
154.167,49.24,3.33333,49.24,25,49.24,5,49.24
129.167,49.26,5,49.26,12.5,49.26,6.66667,49.26
191.667,49.28,8.33333,49.28,25,49.28,7.5,49.28
175,49.3,5,49.3,20.8333,49.3,2.5,49.3
158.333,49.32,1,49.32,4.16667,49.32,0.833333,49.32
150,49.34,1.66667,49.34,16.6667,49.34,4.16667,49.34
133.333,49.36,6.66667,49.36,4.16667,49.36,4.16667,49.36
70.8333,49.38,6.66667,49.38,16.6667,49.38,5,49.38
108.333,49.4,1,49.4,8.33333,49.4,2.5,49.4
116.667,49.42,8.33333,49.42,4.16667,49.42,4.16667,49.42
83.3333,49.44,8.33333,49.44,4.16667,49.44,6.66667,49.44
83.3333,49.46,3.33333,49.46,16.6667,49.46,7.5,49.46
75,49.48,6.66667,49.48,8.33333,49.48,5,49.48
95.8333,49.5,6.66667,49.5,16.6667,49.5,5,49.5
95.8333,49.52,3.33333,49.52,4.16667,49.52,2.5,49.52
50,49.54,1.66667,49.54,4.16667,49.54,5,49.54
33.3333,49.56,6.66667,49.56,1,49.56,6.66667,49.56
75,49.58,3.33333,49.58,1,49.58,2.5,49.58
62.5,49.6,1.66667,49.6,1,49.6,5,49.6
25,49.62,5,49.62,4.16667,49.62,5.83333,49.62
20.8333,49.64,5,49.64,4.16667,49.64,5.83333,49.64
41.6667,49.66,1,49.66,1,49.66,2.5,49.66
37.5,49.68,1.66667,49.68,4.16667,49.68,3.33333,49.68
45.8333,49.7,1,49.7,8.33333,49.7,3.33333,49.7
29.1667,49.72,6.66667,49.72,1,49.72,5,49.72
16.6667,49.74,1.66667,49.74,4.16667,49.74,5.83333,49.74
12.5,49.76,3.33333,49.76,1,49.76,4.16667,49.76
4.16667,49.78,8.33333,49.78,4.16667,49.78,2.5,49.78
12.5,49.8,10,49.8,4.16667,49.8,4.16667,49.8
4.16667,49.82,3.33333,49.82,1,49.82,0.833333,49.82
8.33333,49.84,1.66667,49.84,1,49.84,1,49.84
4.16667,49.86,5,49.86,1,49.86,3.33333,49.86
16.6667,49.88,1,49.88,1,49.88,4.16667,49.88
12.5,49.9,1.66667,49.9,1,49.9,4.16667,49.9
4.16667,49.92,5,49.92,4.16667,49.92,3.33333,49.92
1,49.94,8.33333,49.94,1,49.94,4.16667,49.94
1,49.96,5,49.96,4.16667,49.96,1.66667,49.96
1,49.98,5,49.98,4.16667,49.98,6.66667,49.98
1,50,5,50,4.16667,50,5.83333,50
1,50.02,5,50.02,12.5,50.02,2.5,50.02
4.16667,50.04,1.66667,50.04,1,50.04,1.66667,50.04
4.16667,50.06,6.66667,50.06,4.16667,50.06,2.5,50.06
1,50.08,5,50.08,1,50.08,3.33333,50.08
8.33333,50.1,6.66667,50.1,4.16667,50.1,3.33333,50.1
4.16667,50.12,13.3333,50.12,4.16667,50.12,2.5,50.12
1,50.14,10,50.14,8.33333,50.14,1.66667,50.14
4.16667,50.16,1.66667,50.16,12.5,50.16,3.33333,50.16
1,50.18,6.66667,50.18,4.16667,50.18,3.33333,50.18
1,50.2,8.33333,50.2,4.16667,50.2,3.33333,50.2
1,50.22,3.33333,50.22,1,50.22,1.66667,50.22
1,50.24,3.33333,50.24,4.16667,50.24,3.33333,50.24
1,50.26,8.33333,50.26,4.16667,50.26,3.33333,50.26
1,50.28,6.66667,50.28,4.16667,50.28,1.66667,50.28
1,50.3,1.66667,50.3,4.16667,50.3,4.16667,50.3
1,50.32,3.33333,50.32,8.33333,50.32,3.33333,50.32
1,50.34,11.6667,50.34,4.16667,50.34,5,50.34
1,50.36,10,50.36,8.33333,50.36,0.833333,50.36
8.33333,50.38,5,50.38,4.16667,50.38,1.66667,50.38
8.33333,50.4,15,50.4,4.16667,50.4,1.66667,50.4
4.16667,50.42,10,50.42,1,50.42,2.5,50.42
8.33333,50.44,10,50.44,8.33333,50.44,1.66667,50.44
4.16667,50.46,8.33333,50.46,8.33333,50.46,0.833333,50.46
1,50.48,5,50.48,4.16667,50.48,3.33333,50.48
4.16667,50.5,10,50.5,8.33333,50.5,3.33333,50.5
4.16667,50.52,8.33333,50.52,4.16667,50.52,0.833333,50.52
4.16667,50.54,8.33333,50.54,1,50.54,1.66667,50.54
12.5,50.56,6.66667,50.56,8.33333,50.56,6.66667,50.56
1,50.58,6.66667,50.58,4.16667,50.58,4.16667,50.58
8.33333,50.6,8.33333,50.6,4.16667,50.6,4.16667,50.6
12.5,50.62,8.33333,50.62,1,50.62,0.833333,50.62
8.33333,50.64,6.66667,50.64,8.33333,50.64,3.33333,50.64
1,50.66,18.3333,50.66,4.16667,50.66,2.5,50.66
4.16667,50.68,3.33333,50.68,1,50.68,0.833333,50.68
8.33333,50.7,10,50.7,4.16667,50.7,5,50.7
12.5,50.72,5,50.72,4.16667,50.72,0.833333,50.72
16.6667,50.74,3.33333,50.74,4.16667,50.74,0.833333,50.74
4.16667,50.76,6.66667,50.76,1,50.76,2.5,50.76
12.5,50.78,3.33333,50.78,4.16667,50.78,1.66667,50.78
8.33333,50.8,5,50.8,4.16667,50.8,2.5,50.8
12.5,50.82,15,50.82,1,50.82,2.5,50.82
1,50.84,8.33333,50.84,16.6667,50.84,5.83333,50.84
1,50.86,6.66667,50.86,1,50.86,4.16667,50.86
12.5,50.88,3.33333,50.88,1,50.88,0.833333,50.88
16.6667,50.9,3.33333,50.9,1,50.9,5,50.9
8.33333,50.92,6.66667,50.92,4.16667,50.92,1,50.92
4.16667,50.94,10,50.94,1,50.94,0.833333,50.94
16.6667,50.96,3.33333,50.96,1,50.96,2.5,50.96
8.33333,50.98,1.66667,50.98,4.16667,50.98,1.66667,50.98
4.16667,51,8.33333,51,1,51,0.833333,51
1,51.02,10,51.02,8.33333,51.02,0.833333,51.02
8.33333,51.04,8.33333,51.04,4.16667,51.04,5,51.04
4.16667,51.06,5,51.06,8.33333,51.06,5,51.06
1,51.08,5,51.08,1,51.08,2.5,51.08
1,51.1,1,51.1,4.16667,51.1,2.5,51.1
4.16667,51.12,3.33333,51.12,8.33333,51.12,4.16667,51.12
4.16667,51.14,6.66667,51.14,4.16667,51.14,3.33333,51.14
4.16667,51.16,6.66667,51.16,4.16667,51.16,4.16667,51.16
8.33333,51.18,5,51.18,8.33333,51.18,4.16667,51.18
1,51.2,1.66667,51.2,1,51.2,6.66667,51.2
12.5,51.22,5,51.22,1,51.22,3.33333,51.22
4.16667,51.24,3.33333,51.24,1,51.24,2.5,51.24
1,51.26,3.33333,51.26,1,51.26,3.33333,51.26
1,51.28,6.66667,51.28,8.33333,51.28,2.5,51.28
1,51.3,1.66667,51.3,1,51.3,1.66667,51.3
4.16667,51.32,5,51.32,1,51.32,2.5,51.32
4.16667,51.34,10,51.34,1,51.34,3.33333,51.34
1,51.36,3.33333,51.36,4.16667,51.36,5,51.36
4.16667,51.38,1,51.38,1,51.38,0.833333,51.38
1,51.4,1.66667,51.4,1,51.4,7.5,51.4
