PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
16.6667,21.96,3.33333,21.96,1,21.96,2.5,21.96
12.5,21.98,1.66667,21.98,4.16667,21.98,3.33333,21.98
4.16667,22,1,22,1,22,4.16667,22
12.5,22.02,3.33333,22.02,4.16667,22.02,0.833333,22.02
8.33333,22.04,3.33333,22.04,4.16667,22.04,2.5,22.04
4.16667,22.06,1,22.06,1,22.06,5,22.06
12.5,22.08,1,22.08,1,22.08,1,22.08
20.8333,22.1,1,22.1,1,22.1,2.5,22.1
16.6667,22.12,1.66667,22.12,1,22.12,3.33333,22.12
16.6667,22.14,1,22.14,1,22.14,9.16667,22.14
33.3333,22.16,1.66667,22.16,8.33333,22.16,3.33333,22.16
16.6667,22.18,1,22.18,4.16667,22.18,2.5,22.18
4.16667,22.2,5,22.2,1,22.2,4.16667,22.2
12.5,22.22,1.66667,22.22,8.33333,22.22,5.83333,22.22
16.6667,22.24,6.66667,22.24,4.16667,22.24,5,22.24
20.8333,22.26,5,22.26,8.33333,22.26,3.33333,22.26
8.33333,22.28,1,22.28,4.16667,22.28,4.16667,22.28
8.33333,22.3,3.33333,22.3,1,22.3,4.16667,22.3
8.33333,22.32,8.33333,22.32,1,22.32,4.16667,22.32
16.6667,22.34,8.33333,22.34,1,22.34,3.33333,22.34
16.6667,22.36,3.33333,22.36,1,22.36,2.5,22.36
12.5,22.38,6.66667,22.38,4.16667,22.38,3.33333,22.38
12.5,22.4,6.66667,22.4,8.33333,22.4,4.16667,22.4
20.8333,22.42,11.6667,22.42,12.5,22.42,2.5,22.42
8.33333,22.44,11.6667,22.44,4.16667,22.44,2.5,22.44
8.33333,22.46,10,22.46,4.16667,22.46,2.5,22.46
16.6667,22.48,3.33333,22.48,16.6667,22.48,0.833333,22.48
25,22.5,10,22.5,20.8333,22.5,2.5,22.5
16.6667,22.52,20,22.52,8.33333,22.52,3.33333,22.52
20.8333,22.54,26.6667,22.54,12.5,22.54,3.33333,22.54
37.5,22.56,43.3333,22.56,12.5,22.56,2.5,22.56
29.1667,22.58,63.3333,22.58,25,22.58,4.16667,22.58
50,22.6,145,22.6,8.33333,22.6,1.66667,22.6
116.667,22.62,341.667,22.62,8.33333,22.62,5,22.62
487.5,22.64,831.667,22.64,12.5,22.64,4.16667,22.64
933.333,22.66,1906.67,22.66,16.6667,22.66,5,22.66
2183.33,22.68,4078.33,22.68,25,22.68,1.66667,22.68
5266.67,22.7,9813.33,22.7,12.5,22.7,2.5,22.7
12004.2,22.72,28831.7,22.72,29.1667,22.72,5,22.72
39720.8,22.74,80356.7,22.74,25,22.74,5.83333,22.74
96725,22.76,122897,22.76,29.1667,22.76,10,22.76
128567,22.78,116310,22.78,20.8333,22.78,6.66667,22.78
92062.5,22.8,61878.3,22.8,29.1667,22.8,5,22.8
29191.7,22.82,13666.7,22.82,33.3333,22.82,6.66667,22.82
6079.17,22.84,3425,22.84,33.3333,22.84,12.5,22.84
2362.5,22.86,1260,22.86,8.33333,22.86,16.6667,22.86
1004.17,22.88,643.333,22.88,50,22.88,35.8333,22.88
566.667,22.9,295,22.9,533.333,22.9,116.667,22.9
308.333,22.92,106.667,22.92,4775,22.92,1309.17,22.92
225,22.94,61.6667,22.94,9766.67,22.94,10707.5,22.94
220.833,22.96,36.6667,22.96,4937.5,22.96,14473.3,22.96
195.833,22.98,46.6667,22.98,625,22.98,1805.83,22.98
191.667,23,30,23,191.667,23,128.333,23
129.167,23.02,28.3333,23.02,250,23.02,60,23.02
191.667,23.04,11.6667,23.04,158.333,23.04,41.6667,23.04
170.833,23.06,23.3333,23.06,191.667,23.06,31.6667,23.06
191.667,23.08,6.66667,23.08,170.833,23.08,20,23.08
212.5,23.1,10,23.1,129.167,23.1,21.6667,23.1
233.333,23.12,16.6667,23.12,145.833,23.12,18.3333,23.12
150,23.14,11.6667,23.14,108.333,23.14,14.1667,23.14
183.333,23.16,16.6667,23.16,141.667,23.16,7.5,23.16
212.5,23.18,6.66667,23.18,162.5,23.18,12.5,23.18
204.167,23.2,10,23.2,166.667,23.2,13.3333,23.2
200,23.22,15,23.22,150,23.22,13.3333,23.22
258.333,23.24,10,23.24,150,23.24,8.33333,23.24
162.5,23.26,8.33333,23.26,170.833,23.26,7.5,23.26
208.333,23.28,11.6667,23.28,125,23.28,7.5,23.28
175,23.3,6.66667,23.3,104.167,23.3,9.16667,23.3
166.667,23.32,8.33333,23.32,154.167,23.32,5,23.32
183.333,23.34,5,23.34,125,23.34,10.8333,23.34
283.333,23.36,10,23.36,175,23.36,5.83333,23.36
212.5,23.38,6.66667,23.38,125,23.38,5,23.38
275,23.4,10,23.4,95.8333,23.4,4.16667,23.4
241.667,23.42,11.6667,23.42,154.167,23.42,2.5,23.42
258.333,23.44,6.66667,23.44,141.667,23.44,6.66667,23.44
233.333,23.46,8.33333,23.46,129.167,23.46,5,23.46
266.667,23.48,1,23.48,150,23.48,5,23.48
275,23.5,1,23.5,125,23.5,1.66667,23.5
266.667,23.52,5,23.52,91.6667,23.52,11.6667,23.52
341.667,23.54,6.66667,23.54,129.167,23.54,7.5,23.54
291.667,23.56,5,23.56,154.167,23.56,6.66667,23.56
291.667,23.58,3.33333,23.58,191.667,23.58,4.16667,23.58
337.5,23.6,8.33333,23.6,191.667,23.6,3.33333,23.6
316.667,23.62,3.33333,23.62,150,23.62,10,23.62
216.667,23.64,6.66667,23.64,187.5,23.64,5,23.64
283.333,23.66,5,23.66,125,23.66,6.66667,23.66
266.667,23.68,6.66667,23.68,154.167,23.68,10.8333,23.68
258.333,23.7,8.33333,23.7,154.167,23.7,4.16667,23.7
295.833,23.72,5,23.72,166.667,23.72,8.33333,23.72
233.333,23.74,5,23.74,129.167,23.74,6.66667,23.74
254.167,23.76,5,23.76,166.667,23.76,9.16667,23.76
