hh_13,hh_20,hh_27,hh_34,hh_41,hh_48,hh_55,hh_62,hh_69,h0_Th13,h0_Th20,h0_Th27,h0_Th34,h0_Th41,h0_Th48,h0_Th55,h0_Th62,h0_Th69,Energy_Loss
0.0269612,0.0230851,0.0201908,0.01844,0.0141943,0.0156106,0.0186822,0.0200757,0.0198398,0.0244664,0.0202516,0.0225593,0.0164076,0.0192671,0.0164965,0.0173964,0.0168628,0.0243402,-739.45
0.0280508,0.0208472,0.0211868,0.0187107,0.0165015,0.0206822,0.0215212,0.0231342,0.016923,0.0279905,0.0245516,0.0255046,0.0202863,0.0206021,0.0171408,0.0173917,0.0170854,0.0224578,-729.8
0.0274102,0.019438,0.0206167,0.0185796,0.0195636,0.0188581,0.0196638,0.0227607,0.0187275,0.0245828,0.0275523,0.0245779,0.0216969,0.0229647,0.0164974,0.0193502,0.0179033,0.0175473,-720.15
0.0273225,0.0223389,0.0250114,0.0181834,0.020742,0.0174457,0.0181096,0.0176977,0.0219803,0.0278819,0.0278452,0.0225634,0.023841,0.0250013,0.0182553,0.0204589,0.0175028,0.0166379,-710.5
0.0316018,0.0238692,0.0211434,0.0185274,0.020581,0.0173386,0.0202236,0.02024,0.017627,0.0243462,0.0249343,0.0217139,0.0210852,0.0177032,0.0185228,0.0186782,0.0159501,0.0176989,-700.85
0.0284006,0.0229303,0.0215399,0.0187803,0.0170314,0.016691,0.0155483,0.0166065,0.0176526,0.0235378,0.0221591,0.0226587,0.0217589,0.0168079,0.020563,0.0155471,0.0164081,0.0190387,-691.2
0.0271644,0.0178198,0.0249422,0.0198854,0.0191465,0.0172389,0.0178839,0.0149419,0.0136063,0.0264493,0.021044,0.0222736,0.0195906,0.0185913,0.0156423,0.0145681,0.017621,0.0218666,-681.55
0.0261343,0.0179461,0.0239355,0.0187068,0.0171273,0.0200241,0.0139156,0.0149068,0.0157334,0.0241053,0.0210557,0.0227071,0.0180444,0.0205599,0.016895,0.0175757,0.0179153,0.0199386,-671.9
0.0232164,0.0217389,0.0229958,0.0193459,0.0162666,0.0186792,0.014967,0.0220696,0.0170531,0.0223897,0.0231583,0.0184719,0.0154334,0.0147593,0.0183916,0.016495,0.0191658,0.0174337,-662.25
0.0262401,0.019548,0.0210748,0.0174416,0.0166337,0.018074,0.0163313,0.0179942,0.0171902,0.0292248,0.0252979,0.0208565,0.0176507,0.0160244,0.0213901,0.0177473,0.0202763,0.0194385,-652.6
0.0292104,0.0210279,0.020764,0.0181919,0.0177806,0.0170579,0.0165723,0.0162849,0.0191759,0.025824,0.0231318,0.0221048,0.0179479,0.0188473,0.0181336,0.0188614,0.0187535,0.0200973,-642.95
0.0269342,0.0193134,0.0194459,0.0189676,0.0167839,0.0182059,0.0195467,0.016275,0.0172873,0.0263153,0.0197932,0.0223855,0.0181551,0.020562,0.018697,0.0166551,0.0153839,0.0223456,-633.3
0.0259564,0.0195194,0.0180958,0.0180289,0.0152886,0.0194658,0.0230176,0.0161816,0.0193888,0.0286024,0.0215841,0.0204989,0.0207019,0.0198542,0.0182034,0.0163183,0.0170222,0.0232501,-623.65
0.0216014,0.0217225,0.0193735,0.0170473,0.0138346,0.0202244,0.0217078,0.0158142,0.0163993,0.0234261,0.0231914,0.0201953,0.0210662,0.0177101,0.0183437,0.0165416,0.0200575,0.0197649,-614
0.0228115,0.0201462,0.0195376,0.0162419,0.0145285,0.0204725,0.0178769,0.0136264,0.0176281,0.0223397,0.0253706,0.0230719,0.0243053,0.0165445,0.018617,0.0182975,0.0219105,0.0158245,-604.35
0.0223309,0.0227844,0.0247039,0.0130771,0.0154663,0.0188175,0.0219955,0.0179775,0.0168364,0.0225095,0.027254,0.0195637,0.0220434,0.0183256,0.016816,0.016127,0.0215162,0.0181995,-594.7
0.0263085,0.0261778,0.0207046,0.0139794,0.0220604,0.0164719,0.0153932,0.0183441,0.0171656,0.0234753,0.0256492,0.0207497,0.0185161,0.0190331,0.0195465,0.0157584,0.0180333,0.0189758,-585.05
0.0269337,0.0202085,0.018469,0.0179717,0.0200242,0.0142105,0.012583,0.0123635,0.0167993,0.0223332,0.0248904,0.0165896,0.0185813,0.0166593,0.0164372,0.0159604,0.0170387,0.0183075,-575.4
0.0278226,0.0204454,0.0155426,0.0175134,0.0195984,0.0158485,0.0144916,0.0123675,0.0161739,0.0262374,0.0243768,0.0176587,0.0201111,0.0208596,0.0133661,0.0133072,0.0163159,0.0178039,-565.75
0.0284003,0.0191147,0.0154422,0.0169794,0.0189456,0.0182477,0.0167881,0.01334,0.0198016,0.0327913,0.0232513,0.0183803,0.0166767,0.0167235,0.0145343,0.0130315,0.0138637,0.0129951,-556.1
0.0274512,0.0175448,0.0160378,0.0162577,0.0149634,0.0188129,0.0164338,0.0137131,0.0139581,0.0274814,0.0207242,0.0191583,0.0185418,0.0143123,0.0156079,0.0144655,0.0139211,0.0152491,-546.45
0.0230882,0.0177745,0.0175801,0.0143165,0.0145467,0.0154532,0.0155471,0.0165957,0.0158993,0.025871,0.0230531,0.0195307,0.0151828,0.0178415,0.0166629,0.0147519,0.0140434,0.0150018,-536.8
0.024287,0.0180636,0.0202496,0.0162021,0.0128193,0.0145469,0.0172308,0.0114143,0.0170661,0.0233082,0.0232466,0.0177094,0.0157955,0.0197216,0.0155419,0.0137642,0.0139137,0.0133146,-527.15
0.0256292,0.0207223,0.0166977,0.0166827,0.0170322,0.014946,0.0154019,0.0162615,0.0153047,0.0169635,0.0209064,0.0163157,0.0157431,0.0169129,0.0175525,0.0124732,0.0148836,0.0148088,-517.5
0.0267201,0.0209685,0.0137098,0.0187149,0.0188707,0.0163391,0.0139975,0.0128157,0.0159327,0.0227275,0.0192986,0.0185952,0.017677,0.0174317,0.0175789,0.0124917,0.0171325,0.0154651,-507.85
0.0253411,0.0217327,0.0141984,0.0196683,0.0169955,0.0131673,0.0182008,0.0119449,0.0147883,0.023189,0.0189899,0.020185,0.0167094,0.0187373,0.0150114,0.0143488,0.0172833,0.0162829,-498.2
0.0237332,0.0188212,0.0180092,0.0209046,0.0164474,0.0116798,0.017683,0.0157638,0.0196221,0.0268331,0.0189331,0.0230185,0.0193795,0.0181337,0.0134081,0.0156802,0.0127141,0.0176034,-488.55
0.020867,0.0195383,0.0201785,0.0200039,0.0137856,0.0118394,0.0187888,0.0140488,0.0178963,0.0312748,0.0195799,0.0202673,0.0189759,0.0163244,0.0147282,0.0142133,0.0157165,0.016848,-478.9
0.0196818,0.0194557,0.0205746,0.0146733,0.0166206,0.01267,0.0155842,0.0141127,0.0136021,0.0321411,0.0219295,0.0178444,0.0205915,0.0172353,0.0180665,0.013972,0.0180304,0.019422,-469.25
0.0227684,0.0207662,0.0196584,0.0154915,0.0155336,0.0143908,0.0132691,0.0145213,0.0155642,0.0246383,0.0217725,0.0164087,0.021446,0.018664,0.0190739,0.0164591,0.017663,0.0171819,-459.6
0.0273872,0.022174,0.0176494,0.0171575,0.0172029,0.0151186,0.0127755,0.0145677,0.0167111,0.026926,0.0230426,0.0158114,0.0178977,0.0181193,0.0175808,0.0188789,0.0179717,0.0217509,-449.95
0.0254031,0.0225818,0.0201228,0.0180185,0.0192457,0.0160418,0.0157604,0.0155675,0.0186377,0.0242696,0.0246403,0.0201079,0.0174874,0.0150661,0.019955,0.0174482,0.0174435,0.0204272,-440.3
0.0237024,0.0211806,0.0184917,0.0201409,0.0174763,0.0176916,0.0215482,0.0200943,0.0183901,0.027924,0.0232029,0.0199443,0.0188495,0.021511,0.0197815,0.01693,0.0162307,0.0172386,-430.65
0.0240983,0.0201152,0.0226487,0.0202534,0.0170686,0.0192525,0.0228639,0.0225925,0.017594,0.0315279,0.0234357,0.0183976,0.0193014,0.0232292,0.0202773,0.017703,0.014597,0.0192468,-421
0.0285826,0.0197498,0.0204401,0.0196258,0.0170888,0.0194649,0.0185951,0.0202487,0.0212403,0.0287222,0.0231393,0.0219606,0.0197657,0.0218114,0.0206078,0.0182501,0.0184486,0.0181895,-411.35
0.0319864,0.0224661,0.0199596,0.0203309,0.0162465,0.0173756,0.0207558,0.0176288,0.0215022,0.0305389,0.0215888,0.0238082,0.018755,0.0195993,0.019066,0.0200644,0.0216748,0.0197124,-401.7
0.0350793,0.0234634,0.0240805,0.0214502,0.0226363,0.0158098,0.0209973,0.0187596,0.02265,0.0312437,0.0201258,0.0237005,0.0201498,0.0181123,0.0216245,0.022822,0.0203869,0.022645,-392.05
0.0296479,0.0248097,0.023157,0.0218645,0.0175611,0.0143454,0.0173789,0.0165394,0.025412,0.031094,0.0213357,0.0253419,0.0246212,0.0183915,0.0224784,0.0214184,0.0173839,0.0222087,-382.4
0.0298735,0.0246177,0.0215589,0.0236081,0.0201207,0.0145797,0.0175994,0.0199739,0.02169,0.0308968,0.0239208,0.0264868,0.0227842,0.018236,0.0214569,0.0191343,0.0199913,0.0233134,-372.75
0.0340683,0.0269656,0.0223517,0.0282305,0.0235947,0.0172178,0.0215802,0.0191909,0.022596,0.0318241,0.0257995,0.0310056,0.0224777,0.0208851,0.0210225,0.019063,0.0226607,0.0210815,-363.1
0.0345384,0.028696,0.0264947,0.0269228,0.0220358,0.0167529,0.0248628,0.0204972,0.0198624,0.0383382,0.0255568,0.0297161,0.0216767,0.0225003,0.0250716,0.0194369,0.0201604,0.0197574,-353.45
0.0312198,0.0337791,0.0240424,0.0240837,0.0235233,0.0175066,0.0266311,0.0248255,0.0202225,0.0329527,0.0232297,0.027383,0.0235274,0.0219031,0.0265489,0.0204352,0.0207779,0.0233599,-343.8
0.0328543,0.0321355,0.0297417,0.0260572,0.0283001,0.0235901,0.0234495,0.025661,0.0234364,0.0439513,0.0244691,0.0312467,0.024349,0.0232502,0.0265738,0.0225413,0.0200636,0.0250016,-334.15
0.0322788,0.0269069,0.0351898,0.028308,0.0237853,0.0280019,0.0251159,0.0248772,0.0219643,0.0426435,0.0272081,0.025275,0.0277202,0.0245845,0.02537,0.02401,0.022387,0.0266151,-324.5
0.0321227,0.0302762,0.0282744,0.0286822,0.0269597,0.028514,0.0232801,0.0239309,0.0286525,0.0340539,0.0304239,0.028391,0.0313659,0.0295909,0.0267333,0.025859,0.026855,0.0302206,-314.85
0.0369034,0.0359434,0.0307886,0.0296491,0.0316162,0.0278204,0.0268229,0.0265805,0.0309819,0.0374806,0.0340324,0.0360022,0.0293864,0.0297083,0.0272795,0.0264171,0.0346399,0.0300362,-305.2
0.0441748,0.0340983,0.0343838,0.0302016,0.0316661,0.0273027,0.0281011,0.0317728,0.0308898,0.0430705,0.0317634,0.0368543,0.0323611,0.0360257,0.0261744,0.0268662,0.0293429,0.0301135,-295.55
0.0467106,0.0338216,0.0306362,0.0311849,0.0279404,0.0255405,0.0255568,0.0371647,0.0325267,0.0371171,0.0354857,0.0354955,0.0351407,0.0363211,0.0274916,0.0315785,0.029209,0.0318332,-285.9
0.0443459,0.0378543,0.0338523,0.0324381,0.0377849,0.0261466,0.0287214,0.0333911,0.0286127,0.0433378,0.0423076,0.0391046,0.0366457,0.0309921,0.0317818,0.03159,0.0269144,0.0354754,-276.25
0.0448655,0.0394884,0.031038,0.0358992,0.0416338,0.0283935,0.0312473,0.0308207,0.0282995,0.0380123,0.0447492,0.0399247,0.0355309,0.035161,0.0336328,0.0306216,0.031595,0.0363453,-266.6
0.0485957,0.0407562,0.0355393,0.0358044,0.0376491,0.029457,0.0335255,0.0258054,0.0360931,0.038254,0.0433031,0.0425642,0.0328539,0.036025,0.0336926,0.0319042,0.037101,0.0339914,-256.95
