hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.0213197,0.0155965,0.0117337,0.00609634,0.0100115,0.00645353,0.00958525,0.00757869,0.0057014,0.0190138,0.0155213,0.0144206,0.00896318,0.00943024,0.00628751,0.00668223,0.00499163,0.00933244,0.0184732,-268.4,,
0.020968,0.0155676,0.0107872,0.00683844,0.00858292,0.00623868,0.0104939,0.00682686,0.00618353,0.0181097,0.0164198,0.0117489,0.0102269,0.00891865,0.00722287,0.00594591,0.00660687,0.00705504,0.0166072,-258.75,,
0.0204935,0.0137159,0.0153469,0.00896848,0.00851802,0.00797598,0.0091078,0.00890425,0.00655168,0.0228068,0.0135914,0.00876503,0.0115536,0.00913393,0.00592322,0.00548698,0.00416386,0.00663928,0.020059,-249.1,,
0.0247172,0.015927,0.0135303,0.010079,0.00815174,0.00799663,0.0110096,0.00822184,0.00648132,0.0258762,0.0118924,0.00840475,0.0128887,0.0102678,0.00668241,0.00885493,0.00760822,0.00689085,0.0238394,-239.45,,
0.0259606,0.0176507,0.0133942,0.00918256,0.0072168,0.00568474,0.0100197,0.00600408,0.00787771,0.0229242,0.011863,0.0104337,0.0118348,0.0119263,0.00781997,0.00658724,0.00805112,0.00753401,0.0236802,-229.8,,
0.0281129,0.0188274,0.0122421,0.00923845,0.00951662,0.00718212,0.010251,0.00755144,0.00874252,0.0234728,0.0147675,0.01198,0.0103498,0.00953877,0.00900016,0.006142,0.00546181,0.00915476,0.0251064,-220.15,,
0.0264885,0.020378,0.0124932,0.00929832,0.00951912,0.008181,0.00944346,0.00771819,0.00868257,0.0264305,0.018569,0.0147667,0.0112259,0.0094448,0.0072045,0.00373678,0.00447168,0.00987152,0.0253296,-210.5,,
0.0254174,0.0203858,0.0145427,0.00910994,0.0114924,0.00704607,0.00869021,0.00989322,0.00784518,0.0272114,0.019411,0.0161099,0.0113145,0.00822935,0.00887323,0.00692838,0.00600641,0.00828129,0.0245754,-200.85,,
0.0268319,0.0230927,0.0150952,0.00981197,0.0122662,0.00626804,0.012116,0.00819812,0.00782879,0.0248199,0.0180617,0.0159383,0.0108767,0.011526,0.00857568,0.00717478,0.00604878,0.00901351,0.0247485,-191.2,,
0.028214,0.0228413,0.0141326,0.0117216,0.00998666,0.00859444,0.0107225,0.0105487,0.00907007,0.0236936,0.0181891,0.0110275,0.0127155,0.0100667,0.00879422,0.00574413,0.00754373,0.0100247,0.0257517,-181.55,,
