six_139173_LH_E,six_139173_LH_Rixs,six_139174_LV_E,six_139174_LV_Rixs
872.498,73554,872.498,75863
872.593,73541,872.597,75818
872.698,73506,872.693,75798
872.794,73493,872.799,75748
872.899,73492,872.894,75737
872.994,73475,872.999,75689
873.099,73465,873.1,75658
873.188,73465,873.199,75653
873.298,73438,873.293,75636
873.394,73453,873.399,75578
873.499,73436,873.493,75711
873.594,73428,873.598,75689
873.699,73419,873.69,75680
873.792,73426,873.798,75663
873.899,73383,873.892,75670
873.991,73390,873.998,75641
874.099,73366,874.092,75629
874.199,73358,874.198,75614
874.299,73319,874.293,75618
874.391,73332,874.399,75586
874.499,73299,874.492,75578
874.593,73292,874.599,75563
874.699,73277,874.693,75560
874.794,73258,874.798,75539
874.899,73246,874.893,75530
874.993,73230,874.999,75506
875.099,73196,875.093,75507
875.192,73181,875.198,75480
875.298,73166,875.298,75457
875.399,73161,875.398,75465
875.498,73152,875.498,75428
875.598,73125,875.598,75438
875.698,73120,875.698,75435
875.798,73100,875.798,75413
875.898,73090,875.898,75401
875.998,73061,875.997,75403
876.098,73046,876.098,75387
876.195,73047,876.198,75368
876.298,73040,876.298,75349
876.39,73025,876.398,75349
876.499,72993,876.492,75332
876.592,73000,876.598,75344
876.699,72976,876.692,75330
876.793,72965,876.798,75311
876.898,72952,876.892,75317
876.993,72949,876.998,75307
877.098,72935,877.098,75288
877.198,72928,877.198,75280
877.298,72898,877.299,75273
877.398,72903,877.398,75275
877.498,72894,877.499,75261
877.598,72887,877.599,75251
877.698,72877,877.698,75242
877.798,72873,877.798,75240
877.898,72863,877.898,75233
877.998,72861,877.998,75235
878.098,72877,878.092,75232
878.192,72953,878.198,75230
878.298,72945,878.292,75247
878.392,72944,878.398,75242
878.498,72938,878.493,75249
878.593,72950,878.599,75223
878.698,72937,878.693,75224
878.793,72938,878.799,75219
878.898,72930,878.892,75247
878.999,72943,878.998,75228
879.098,72937,879.092,75232
879.192,72937,879.198,75201
879.298,72947,879.291,75225
879.393,72954,879.397,75220
879.498,72946,879.498,75226
879.598,72941,879.598,75214
879.698,72958,879.699,75235
879.798,72943,879.798,75243
879.898,72965,879.899,75237
879.998,72953,879.998,75261
